algorithm,seed,scenario,power_model,pue_model,n_vms,n_vms_rejected,total_energy_dc_kj,total_compute_energy_kj,total_cooling_energy_kj,avg_pue,avg_dc_util,avg_active_hosts,sla_violation_rate,sla_violations_abs
PABFD,1,medium,linear,linear,42,0,5036.813587243806,3188.62001379493,1848.1935734488743,1.6157088873561194,0.3071518544064684,4.25,0.5166666666666667,31
PABFD,2,medium,linear,linear,43,0,3022.0538787941905,1816.2185442168184,1205.8353345773705,1.696197939531465,0.17300343411422586,2.45,0.36666666666666664,22
PABFD,3,medium,linear,linear,38,0,4134.886031404608,2566.6119969402716,1568.274034464337,1.653487555895525,0.24418740684079107,3.466666666666667,0.15,9
PABFD,4,medium,linear,linear,30,0,3162.6738572101185,1898.4079476127858,1264.2659095973322,1.6930657835985796,0.17822369400236768,2.6,0.06666666666666667,4
PABFD,5,medium,linear,linear,45,1,5757.269839125502,3715.5325608648154,2041.737278260687,1.5844963821261315,0.3591726964564473,4.933333333333334,0.65,39
PABFD,6,medium,linear,linear,39,0,5083.909312894418,3229.859644954263,1854.0496679401542,1.6117933727828593,0.31367771202856737,4.266666666666667,0.5666666666666667,34
PABFD,7,medium,linear,linear,37,0,4026.0520883781282,2472.0159419401352,1554.0361464379944,1.6566648953399854,0.23889184110002498,3.283333333333333,0.43333333333333335,26
PABFD,8,medium,linear,linear,28,0,3570.8938685536104,2145.7968455938676,1425.0970229597435,1.680244794934015,0.19959200844330868,2.966666666666667,0.13333333333333333,8
PABFD,9,medium,linear,linear,34,0,3404.8864226054893,2067.9987579091335,1336.8876646963558,1.6828890268989853,0.195184955168358,2.816666666666667,0.16666666666666666,10
D_PABFD_NL,0,medium,linear,linear,33,0,3751.486972929006,2305.003817048164,1446.483155880843,1.6705551314390932,0.21574144760151184,3.1666666666666665,0.21666666666666667,13
D_PABFD_NL,1,medium,linear,linear,42,0,5036.813587243806,3188.62001379493,1848.1935734488743,1.6157088873561194,0.3071518544064684,4.25,0.5166666666666667,31
D_PABFD_NL,2,medium,linear,linear,43,0,3022.0538787941905,1816.2185442168184,1205.8353345773705,1.696197939531465,0.17300343411422586,2.45,0.36666666666666664,22
D_PABFD_NL,3,medium,linear,linear,38,0,4144.5367928046435,2572.6119969402716,1571.9247958643732,1.653487555895525,0.24418740684079107,3.4833333333333334,0.15,9
D_PABFD_NL,4,medium,linear,linear,30,0,3172.254946356941,1904.4079476127858,1267.846998744155,1.6930657835985796,0.17822369400236768,2.6166666666666667,0.03333333333333333,2
D_PABFD_NL,5,medium,linear,linear,45,1,5765.203926406506,3721.5325608648154,2043.671365541691,1.5844963821261315,0.3591726964564473,4.95,0.65,39
D_PABFD_NL,6,medium,linear,linear,39,0,5103.757124150469,3241.859644954263,1861.8974791962062,1.6117933727828593,0.31367771202856737,4.3,0.5666666666666667,34
D_PABFD_NL,7,medium,linear,linear,37,0,4004.7377482960123,2460.0159419401352,1544.7218063558785,1.6566648953399854,0.23889184110002498,3.25,0.4,24
D_PABFD_NL,8,medium,linear,linear,28,0,3620.827055079147,2175.7968455938676,1445.0302094852805,1.680244794934015,0.19959200844330868,3.05,0.13333333333333333,8
D_PABFD_NL,9,medium,linear,linear,34,0,3424.2554465713856,2079.9987579091335,1344.2566886622521,1.6828890268989853,0.195184955168358,2.85,0.03333333333333333,2
SpreadFit,0,medium,linear,linear,33,0,3939.0542964228516,2419.003817048164,1520.0504793746886,1.6705551314390932,0.21574144760151184,3.4833333333333334,0.11666666666666667,7
SpreadFit,1,medium,linear,linear,42,0,5476.559945715547,3464.62001379493,2011.939931920615,1.6157088873561194,0.3071518544064684,5.016666666666667,0.1,6
SpreadFit,2,medium,linear,linear,43,0,3262.9608364929054,1960.2185442168186,1302.7422922760866,1.696197939531465,0.17300343411422586,2.85,0.2,12
SpreadFit,3,medium,linear,linear,38,0,4466.824511900963,2770.6119969402716,1696.2125149606916,1.653487555895525,0.24418740684079107,4.033333333333333,0.05,3
SpreadFit,4,medium,linear,linear,30,0,3511.4579087058623,2108.407947612786,1403.049961093077,1.6930657835985796,0.17822369400236768,3.183333333333333,0.0,0
SpreadFit,5,medium,linear,linear,45,1,5909.965719787998,3811.5325608648154,2098.433158923181,1.5844963821261315,0.3591726964564473,5.2,0.65,39
SpreadFit,6,medium,linear,linear,39,0,5575.036299972501,3541.8596449542624,2033.1766550182392,1.6117933727828593,0.31367771202856737,5.133333333333334,0.5666666666666667,34
SpreadFit,7,medium,linear,linear,37,0,4427.007655954801,2718.0159419401343,1708.9917140146679,1.6566648953399854,0.23889184110002498,3.966666666666667,0.25,15
SpreadFit,8,medium,linear,linear,28,0,3920.279367185898,2355.796845593867,1564.4825215920303,1.680244794934015,0.19959200844330868,3.55,0.0,0
SpreadFit,9,medium,linear,linear,34,0,3725.741286821238,2259.998757909133,1465.7425289121052,1.6828890268989853,0.195184955168358,3.35,0.016666666666666666,1
Random,0,medium,linear,linear,33,0,3929.113670727104,2413.003817048164,1516.1098536789411,1.6705551314390932,0.21574144760151184,3.466666666666667,0.11666666666666667,7
Random,1,medium,linear,linear,42,0,5420.337393641235,3428.62001379493,1991.7173798463034,1.6157088873561194,0.3071518544064684,4.916666666666667,0.16666666666666666,10
Random,2,medium,linear,linear,43,0,3163.490572846875,1900.2185442168186,1263.272028630056,1.696197939531465,0.17300343411422586,2.683333333333333,0.2,12
Random,3,medium,linear,linear,38,0,4367.999565794749,2710.6119969402716,1657.3875688544786,1.653487555895525,0.24418740684079107,3.8666666666666667,0.05,3
Random,4,medium,linear,linear,30,0,3433.8098211980123,2060.407947612786,1373.4018735852262,1.6930657835985796,0.17822369400236768,3.05,0.05,3
Random,5,medium,linear,linear,45,1,5900.0374694639895,3805.5325608648154,2094.5049085991723,1.5844963821261315,0.3591726964564473,5.183333333333334,0.65,39
Random,6,medium,linear,linear,39,0,5361.506734445834,3403.859644954263,1957.6470894915715,1.6117933727828593,0.31367771202856737,4.75,0.5666666666666667,34
Random,7,medium,linear,linear,37,0,4349.205636995518,2670.0159419401343,1679.1896950553844,1.6566648953399854,0.23889184110002498,3.8333333333333335,0.25,15
Random,8,medium,linear,linear,28,0,3890.181982417278,2337.796845593867,1552.3851368234111,1.680244794934015,0.19959200844330868,3.5,0.0,0
