algorithm,seed,scenario,n_vms,n_vms_rejected,total_energy_dc_kj,total_compute_energy_kj,total_cooling_energy_kj,avg_pue,min_pue,max_pue,avg_active_hosts,sla_violation_rate,sla_violations_abs,migration_count
PABFD_PUE12,2,medium,43,0,3022.0538787941905,1816.2185442168184,1205.8353345773705,1.696197939531465,1.5270036423279814,1.784264611465158,2.45,0.36666666666666664,22,0
PABFD_PUE12,3,medium,38,0,4134.886031404608,2566.6119969402716,1568.274034464337,1.653487555895525,1.4548420731285725,1.8,3.466666666666667,0.15,9,0
PABFD_PUE12,4,medium,30,0,3162.6738572101185,1898.4079476127858,1264.2659095973322,1.6930657835985796,1.5465865058548223,1.8,2.6,0.06666666666666667,4,0
PABFD_PUE12,5,medium,45,1,5757.269839125502,3715.5325608648154,2041.7372782606867,1.5844963821261315,1.3755974605981771,1.7675275176430862,4.933333333333334,0.65,39,0
PABFD_PUE12,6,medium,39,0,5083.909312894417,3229.859644954263,1854.049667940154,1.6117933727828593,1.4521839458858619,1.8,4.266666666666667,0.5666666666666667,34,0
PABFD_PUE12,7,medium,37,0,4026.0520883781282,2472.0159419401352,1554.0361464379944,1.6566648953399854,1.4672060454001556,1.7761950068430052,3.283333333333333,0.43333333333333335,26,0
PABFD_PUE12,8,medium,28,0,3570.8938685536104,2145.7968455938676,1425.0970229597435,1.680244794934015,1.60284978834525,1.8,2.966666666666667,0.13333333333333333,8,0
PABFD_PUE12,9,medium,34,0,3404.8864226054893,2067.9987579091335,1336.8876646963556,1.6828890268989851,1.5260116112473547,1.8,2.816666666666667,0.16666666666666666,10,0
FFD,0,medium,33,0,3733.6623242908386,2293.0038170481644,1440.6585072426756,1.6705551314390932,1.4859797856225563,1.8,3.1333333333333333,0.31666666666666665,19,0
FFD,1,medium,42,0,5036.813587243805,3188.62001379493,1848.1935734488743,1.6157088873561194,1.4525720715613866,1.7772712209120998,4.25,0.5166666666666667,31,0
FFD,2,medium,43,0,3022.0538787941905,1816.2185442168184,1205.8353345773705,1.696197939531465,1.5270036423279814,1.784264611465158,2.45,0.36666666666666664,22,0
FFD,3,medium,38,0,4134.886031404608,2566.6119969402716,1568.274034464337,1.653487555895525,1.4548420731285725,1.8,3.466666666666667,0.15,9,0
FFD,4,medium,30,0,3162.6738572101185,1898.4079476127858,1264.2659095973322,1.6930657835985796,1.5465865058548223,1.8,2.6,0.06666666666666667,4,0
