seed,scenario,algorithm,t_lookahead,p_accuracy,total_energy_j,energy_kwh,sla_violation_rate,total_migrations,total_vms,idle_time_saved_s,idle_energy_saved_j
3,low,FFD,300,0.75,2420893.895259197,0.672470526460888,0.043333333333333335,3,32,0.0,0.0
3,low,P_PABFD_EWA,300,0.75,2468893.895259197,0.6858038597942213,0.03,4,32,600.0,60000.0
3,low,P_PABFD_AR3,300,0.75,2438893.895259197,0.677470526460888,0.03,3,32,450.0,45000.0
3,low,P_PABFD_Oracle,300,0.75,2396893.8952591983,0.6658038597942217,0.045,20,32,2550.0,255000.0
3,medium,PABFD,300,0.75,2386263.461482085,0.6628509615228013,0.03,2,32,0.0,0.0
3,medium,FFD,300,0.75,2380263.4614820853,0.6611842948561348,0.03833333333333333,2,32,0.0,0.0
3,medium,P_PABFD_EWA,300,0.75,2404263.461482085,0.6678509615228013,0.03,3,32,450.0,45000.0
3,medium,P_PABFD_AR3,300,0.75,2410263.4614820844,0.6695176281894679,0.03,5,32,600.0,60000.0
3,medium,P_PABFD_Oracle,300,0.75,2368263.4614820853,0.6578509615228014,0.03333333333333333,20,32,2700.0,270000.0
3,high,PABFD,300,0.75,2069818.4177658705,0.5749495604905196,0.005,2,32,0.0,0.0
3,high,FFD,300,0.75,2069818.41776587,0.5749495604905195,0.0033333333333333335,1,32,0.0,0.0
3,high,P_PABFD_EWA,300,0.75,2087818.4177658702,0.5799495604905195,0.005,3,32,450.0,45000.0
3,high,P_PABFD_AR3,300,0.75,2087818.41776587,0.5799495604905195,0.005,4,32,600.0,60000.0
3,high,P_PABFD_Oracle,300,0.75,2045818.4177658702,0.5682828938238529,0.015,17,32,2250.0,225000.0
4,low,PABFD,300,0.75,3185304.594679525,0.8848068318554236,0.018333333333333333,0,38,0.0,0.0
4,low,FFD,300,0.75,3263304.594679524,0.90647349852209,0.018333333333333333,0,38,0.0,0.0
4,low,P_PABFD_EWA,300,0.75,3161304.5946795247,0.8781401651887568,0.018333333333333333,3,38,450.0,45000.0
4,low,P_PABFD_AR3,300,0.75,3161304.5946795247,0.8781401651887568,0.018333333333333333,3,38,450.0,45000.0
4,low,P_PABFD_Oracle,300,0.75,3143304.5946795247,0.8731401651887568,0.018333333333333333,18,38,2400.0,240000.0
4,medium,PABFD,300,0.75,3053713.376330987,0.8482537156474964,0.018333333333333333,0,38,0.0,0.0
4,medium,FFD,300,0.75,3077713.376330989,0.8549203823141636,0.018333333333333333,0,38,0.0,0.0
4,medium,P_PABFD_EWA,300,0.75,3041713.376330987,0.8449203823141631,0.018333333333333333,4,38,600.0,60000.0
4,medium,P_PABFD_AR3,300,0.75,3035713.3763309876,0.8432537156474965,0.018333333333333333,6,38,900.0,90000.0
4,medium,P_PABFD_Oracle,300,0.75,3035713.376330987,0.8432537156474964,0.018333333333333333,18,38,2400.0,240000.0
4,high,PABFD,300,0.75,2722023.1359951515,0.756117537776431,0.016666666666666666,0,38,0.0,0.0
4,high,FFD,300,0.75,2740023.13599515,0.7611175377764305,0.016666666666666666,0,38,0.0,0.0
4,high,P_PABFD_EWA,300,0.75,2668023.1359951515,0.741117537776431,0.03166666666666667,1,38,150.0,15000.0
4,high,P_PABFD_AR3,300,0.75,2668023.1359951515,0.741117537776431,0.03166666666666667,2,38,300.0,30000.0
4,high,P_PABFD_Oracle,300,0.75,2698023.135995151,0.7494508711097642,0.016666666666666666,19,38,2400.0,240000.0
5,low,PABFD,300,0.75,2102855.5238999818,0.5841265344166616,0.035,1,34,0.0,0.0
5,low,FFD,300,0.75,2108855.5238999818,0.5857932010833282,0.035,0,34,0.0,0.0
5,low,P_PABFD_EWA,300,0.75,2108855.5238999818,0.5857932010833282,0.035,4,34,600.0,60000.0
5,low,P_PABFD_AR3,300,0.75,2102855.5238999818,0.5841265344166616,0.035,4,34,600.0,60000.0
5,low,P_PABFD_Oracle,300,0.75,2090855.5238999822,0.5807932010833284,0.03166666666666667,17,34,2100.0,210000.0
5,medium,PABFD,300,0.75,2179692.8096220396,0.605470224895011,0.035,0,34,0.0,0.0
5,medium,FFD,300,0.75,2173692.8096220405,0.6038035582283445,0.018333333333333333,0,34,0.0,0.0
5,medium,P_PABFD_EWA,300,0.75,2179692.80962204,0.6054702248950111,0.035,3,34,450.0,45000.0
5,medium,P_PABFD_AR3,300,0.75,2179692.8096220396,0.605470224895011,0.035,1,34,150.0,15000.0
5,medium,P_PABFD_Oracle,300,0.75,2137692.8096220396,0.5938035582283443,0.04666666666666667,16,34,1800.0,180000.0
5,high,PABFD,300,0.75,2055550.3630614467,0.570986211961513,0.035,1,34,0.0,0.0
5,high,FFD,300,0.75,2073550.3630614479,0.5759862119615133,0.016666666666666666,1,34,0.0,0.0
5,high,P_PABFD_EWA,300,0.75,2067550.3630614467,0.5743195452948463,0.03333333333333333,4,34,600.0,60000.0
5,high,P_PABFD_AR3,300,0.75,2055550.3630614467,0.570986211961513,0.035,3,34,450.0,45000.0
5,high,P_PABFD_Oracle,300,0.75,2055550.3630614467,0.570986211961513,0.035,15,34,1950.0,195000.0
6,low,PABFD,300,0.75,3755644.0772125586,1.0432344658923773,0.07333333333333333,0,39,0.0,0.0
6,low,FFD,300,0.75,3809644.077212558,1.0582344658923772,0.07,1,39,0.0,0.0
6,low,P_PABFD_EWA,300,0.75,3755644.0772125586,1.0432344658923773,0.07333333333333333,4,39,600.0,60000.0
6,low,P_PABFD_AR3,300,0.75,3755644.0772125586,1.0432344658923773,0.07333333333333333,4,39,600.0,60000.0
6,low,P_PABFD_Oracle,300,0.75,3755644.077212559,1.0432344658923776,0.07333333333333333,24,39,3450.0,345000.0
6,medium,PABFD,300,0.75,3622345.3671512334,1.006207046430898,0.04833333333333333,0,39,0.0,0.0
6,medium,FFD,300,0.75,3664345.3671512334,1.0178737130975648,0.04666666666666667,1,39,0.0,0.0
6,medium,P_PABFD_EWA,300,0.75,3622345.3671512334,1.006207046430898,0.04833333333333333,0,39,0.0,0.0
6,medium,P_PABFD_AR3,300,0.75,3622345.3671512334,1.006207046430898,0.04833333333333333,2,39,300.0,30000.0
6,medium,P_PABFD_Oracle,300,0.75,3622345.3671512334,1.006207046430898,0.04833333333333333,23,39,3300.0,330000.0
6,high,PABFD,300,0.75,3023760.8370753117,0.8399335658542533,0.06,0,39,0.0,0.0
6,high,FFD,300,0.75,3047760.8370753117,0.8466002325209199,0.05333333333333334,1,39,0.0,0.0
6,high,P_PABFD_EWA,300,0.75,3017760.8370753117,0.8382668991875866,0.06,4,39,600.0,60000.0
6,high,P_PABFD_AR3,300,0.75,3011760.8370753117,0.8366002325209199,0.06,9,39,1350.0,135000.0
6,high,P_PABFD_Oracle,300,0.75,3005760.8370753117,0.8349335658542533,0.06,27,39,3450.0,345000.0
7,low,PABFD,300,0.75,3013774.9276357507,0.8371597021210418,0.0033333333333333335,0,33,0.0,0.0
7,low,FFD,300,0.75,3013774.9276357507,0.8371597021210418,0.0033333333333333335,0,33,0.0,0.0
7,low,P_PABFD_EWA,300,0.75,3013774.9276357507,0.8371597021210418,0.0033333333333333335,1,33,150.0,15000.0
7,low,P_PABFD_AR3,300,0.75,3013774.9276357507,0.8371597021210418,0.0033333333333333335,1,33,150.0,15000.0
7,low,P_PABFD_Oracle,300,0.75,2971774.927635751,0.8254930354543754,0.008333333333333333,17,33,2550.0,255000.0
7,medium,PABFD,300,0.75,2755378.2684771325,0.765382852354759,0.0033333333333333335,0,33,0.0,0.0
7,medium,FFD,300,0.75,2755378.2684771325,0.765382852354759,0.0033333333333333335,0,33,0.0,0.0
7,medium,P_PABFD_EWA,300,0.75,2755378.2684771325,0.765382852354759,0.0033333333333333335,0,33,0.0,0.0
7,medium,P_PABFD_AR3,300,0.75,2755378.2684771325,0.765382852354759,0.0033333333333333335,1,33,150.0,15000.0
7,medium,P_PABFD_Oracle,300,0.75,2713378.2684771325,0.7537161856880924,0.008333333333333333,18,33,2550.0,255000.0
7,high,PABFD,300,0.75,1931664.972117441,0.5365736033659558,0.005,0,33,0.0,0.0
7,high,FFD,300,0.75,1931664.972117441,0.5365736033659558,0.005,0,33,0.0,0.0
7,high,P_PABFD_EWA,300,0.75,1931664.972117441,0.5365736033659558,0.005,1,33,150.0,15000.0
7,high,P_PABFD_AR3,300,0.75,1931664.972117441,0.5365736033659558,0.005,2,33,300.0,30000.0
7,high,P_PABFD_Oracle,300,0.75,1913664.972117441,0.5315736033659558,0.005,15,33,2100.0,210000.0
8,low,PABFD,300,0.75,2573857.5018467433,0.7149604171796509,0.02,4,36,0.0,0.0
8,low,FFD,300,0.75,2543857.501846743,0.7066270838463174,0.011666666666666667,3,36,0.0,0.0
8,low,P_PABFD_EWA,300,0.75,2549857.501846743,0.7082937505129842,0.0033333333333333335,4,36,300.0,30000.0
8,low,P_PABFD_AR3,300,0.75,2549857.501846743,0.7082937505129842,0.0033333333333333335,5,36,450.0,45000.0
8,low,P_PABFD_Oracle,300,0.75,2543857.5018467424,0.7066270838463173,0.0033333333333333335,22,36,2250.0,225000.0
